,movie_id,movie_imdb_id,movie_name,language,overview,release_date,status,rating,vote_count,genre,runtime,poster_url
2355,848,tt0082288,Dragonslayer,en,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon to save the Kingâs daughter from being sacrificed according to a pact that the King himself made with the dragon to protect his kingdom.,1981-06-26,Released,6.478,208,"Fantasy, Adventure, ",108,https://image.tmdb.org/t/p/original/dDRK8lbFSt2M3UVDvdG5kMSJUjt.jpg
2356,36811,tt0824758,The Last Station,en,"A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of material things. The Countess Sofya, wife and muse to Leo Tolstoy, uses every trick of seduction on her husband's loyal disciple, whom she believes was the person responsible for Tolstoy signing a new will that leaves his work and property to the Russian people.",2009-09-04,Released,6.392,162,"Drama, Romance, ",112,https://image.tmdb.org/t/p/original/55cRqlB9X6qw9akovbdu8vrsDir.jpg
2357,522,tt0109707,Ed Wood,en,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",1994-09-27,Released,7.512,1882,"Comedy, Drama, History, ",127,https://image.tmdb.org/t/p/original/A5NCOebgzXe0jPzh0mbXRWLZNr5.jpg
2358,130150,tt1967545,Labor Day,en,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",2013-12-27,Released,6.984,917,"Drama, ",111,https://image.tmdb.org/t/p/original/f7k1VJOMXrABW67P0zhzxEVv2oe.jpg
2359,12246,tt0416044,ÐÐ¾Ð½Ð³Ð¾Ð»,ru,"The story recounts the early life of Genghis Khan, a slave who went on to conquer half the world in the 11th century.",2007-09-20,Released,6.723,486,"History, Adventure, War, Action, ",125,https://image.tmdb.org/t/p/original/wZ0yyU6BnRANXbYbDjrYI6XZFsz.jpg
2360,13809,tt1032755,RocknRolla,en,"When a Russian mobster sets up a real estate scam that generates millions of pounds, various members of London's criminal underworld pursue their share of the fortune. Various shady characters, including Mr One-Two, Stella the accountant, and Johnny Quid, a druggie rock-star, try to claim their slice.",2008-09-04,Released,6.963,2413,"Action, Crime, Thriller, ",114,https://image.tmdb.org/t/p/original/i7eyngqjdvKB7NvrWtCjjTNNq8N.jpg
2363,33870,tt1071812,Mao's Last Dancer,en,"At the age of 11, Li was plucked from a poor Chinese village by Madame Mao's cultural delegates and taken to Beijing to study ballet. In 1979, during a cultural exchange to Texas, he fell in love with an American woman. Two years later, he managed to defect and went on to perform as a principal dancer for the Houston Ballet and as a principal artist with the Australian Ballet.",2009-10-01,Released,6.7,92,"Drama, Romance, ",117,https://image.tmdb.org/t/p/original/mvHW6UTlrn60RhyYsoqxXxTPIFn.jpg
2364,245703,tt2649554,Midnight Special,en,A father and son go on the run after the dad learns his child possesses special powers.,2016-02-12,Released,6.239,1634,"Adventure, Drama, Science Fiction, ",112,https://image.tmdb.org/t/p/original/hgDRq1l4ATxwufWjILKsYtglbI6.jpg
2365,10739,tt0313792,Anything Else,en,"Jerry Falk, an aspiring writer in New York, falls in love at first sight with a free-spirited young woman named Amanda. He has heard the phrase that life is like ""anything else,"" but soon he finds that life with the unpredictable Amanda isn't like anything else at all.",2003-08-27,Released,6.209,493,"Comedy, Romance, ",108,https://image.tmdb.org/t/p/original/bvyoWDh60R31ZE5L8TjZ8Qpv5xM.jpg
2366,127560,tt2058107,The Railway Man,en,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.",2013-12-02,Released,6.913,618,"Drama, History, ",116,https://image.tmdb.org/t/p/original/yuADLCxGCA5rFWk2QDXvX5plBrD.jpg
2367,37903,tt1149362,Das weisse Band - Eine deutsche Kindergeschichte,de,"Strange events happen in a small village in the north of Germany during the years just before World War I, which seem to be ritual punishment. The abused and suppressed children of the villagers seem to be at the heart of this mystery.",2009-09-24,Released,7.529,823,"Drama, Mystery, ",144,https://image.tmdb.org/t/p/original/54dlnGDexrwAFlDb8HWKfmmX4LB.jpg
2368,41439,tt1477076,Saw 3D,en,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",2010-10-21,Released,6.0,2384,"Horror, Crime, ",90,https://image.tmdb.org/t/p/original/qHCZ6LjtmqWDfXXN28TlIC9OppK.jpg
2369,14139,tt0480669,Los cronocrÃ­menes,es,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2007-10-05,Released,6.994,994,"Science Fiction, Thriller, ",92,https://image.tmdb.org/t/p/original/svQmmEyXbMMPKGvj2PYxi72tXwY.jpg
